Data,Idade Atual,Idade Reforma,SWR (%),Despesas (€),Investido (€),Retorno (%),Inflação (%),FIRE (€),Coast FIRE (€),Valor do Portefólio (€),Reforço Mensal (€),Valor Portefólio (€),Taxa (%)
2024-08-01 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,333.21,,,
2024-10-01 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,640.11,,,
2024-11-01 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,669.68,,,
2024-12-01 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,1071.18,,,
2024-12-30 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,1335.19,,,
2025-01-22 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,1599.02,,,
2025-03-30 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,1637.65,,,
2025-04-23 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,1872.76,,,
2025-05-22 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,2303.79,,,
2025-06-23 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,2722.46,,,
2025-07-18 14:35:18.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,3091.99,,,
2025-08-02 17:34:20.000000,25,55,4.5,12000.0,2902.22,10.0,3.0,266666.6666666667,35031.2312412239,3091.99,,,
2025-08-03 23:14:07.795953,25,55,4.5,14000.0,2902.22,10.0,3.0,311111.1111111111,40869.76978142788,3091.99,,,
2025-08-04 14:37:39.065343,25,55,4.0,12000.0,2902.22,10.0,3.0,300000.0,39410.13514637688,3091.99,250.0,,
2025-08-15,25,55,,,,,,300000.0,,,250.0,2870.0,7.000000000000001
2025-08-18,25,55,4.0,12000.0,2870.0,10.0,3.0,300000.0,39410.13514637688,2870.0,250.0,,
2025-08-26,25,55,4.0,12000.0,3290.61,10.0,3.0,300000.0,39410.13514637688,3290.61,250.0,,
